departure_port,arrival_port,real_fare_(AUD),Date
Adelaide,Alice Springs,661,2024-01
Adelaide,Brisbane,323,2024-01
Adelaide,Canberra,543,2024-01
Adelaide,Darwin,607,2024-01
Adelaide,Gold Coast,256,2024-01
Adelaide,Melbourne,153,2024-01
Adelaide,Perth,430,2024-01
Adelaide,Port Lincoln,298,2024-01
Adelaide,Sydney,247,2024-01
Albury,Sydney,358,2024-01
Armidale,Sydney,432,2024-01
Avalon,Gold Coast,214,2024-01
Avalon,Sydney,134,2024-01
Ayers Rock,Sydney,423,2024-01
Ballina,Sydney,108,2024-01
Brisbane,Cairns,210,2024-01
Brisbane,Canberra,370,2024-01
Brisbane,Darwin,430,2024-01
Brisbane,Emerald,594,2024-01
Brisbane,Gladstone,450,2024-01
Brisbane,Hamilton Island,383,2024-01
Brisbane,Hobart,312,2024-01
Brisbane,Mackay,162,2024-01
Brisbane,Melbourne,245,2024-01
Brisbane,Mount Isa,850,2024-01
Brisbane,Perth,701,2024-01
Brisbane,Proserpine,194,2024-01
Brisbane,Rockhampton,375,2024-01
Brisbane,Sydney,163,2024-01
Brisbane,Townsville,204,2024-01
Brisbane,Newcastle,132,2024-01
Broome,Perth,554,2024-01
Bundaberg,Brisbane,425,2024-01
Cairns,Gold Coast,370,2024-01
Cairns,Melbourne,317,2024-01
Cairns,Sydney,349,2024-01
Cairns,Townsville,318,2024-01
Canberra,Melbourne,264,2024-01
Canberra,Sydney,438,2024-01
Coffs Harbour,Sydney,368,2024-01
Darwin,Melbourne,519,2024-01
Darwin,Perth,901,2024-01
Darwin,Sydney,435,2024-01
Devonport,Melbourne,414,2024-01
Dubbo,Sydney,418,2024-01
Gold Coast,Sydney,152,2024-01
Hamilton Island,Sydney,420,2024-01
Hobart,Melbourne,182,2024-01
Hobart,Sydney,241,2024-01
Kalgoorlie,Perth,590,2024-01
Karratha,Perth,969,2024-01
Launceston,Melbourne,107,2024-01
Launceston,Sydney,235,2024-01
Sunshine Coast,Melbourne,266,2024-01
Sunshine Coast,Sydney,186,2024-01
Melbourne,Gold Coast,184,2024-01
Melbourne,Mildura,298,2024-01
Melbourne,Perth,618,2024-01
Melbourne,Sydney,186,2024-01
Melbourne,Townsville,263,2024-01
Melbourne,Newcastle,225,2024-01
Paraburdoo,Perth,858,2024-01
Perth,Newman,876,2024-01
Perth,Port Hedland,730,2024-01
Perth,Sydney,593,2024-01
Port Macquarie,Sydney,298,2024-01
Sydney,Tamworth,440,2024-01
Sydney,Townsville,348,2024-01
Sydney,Wagga Wagga,358,2024-01
Newcastle,Gold Coast,182,2024-01
Adelaide,Alice Springs,611,2023-09
Adelaide,Brisbane,410,2023-09
Adelaide,Canberra,651,2023-09
Adelaide,Darwin,304,2023-09
Adelaide,Gold Coast,349,2023-09
Adelaide,Melbourne,164,2023-09
Adelaide,Perth,511,2023-09
Adelaide,Port Lincoln,400,2023-09
Adelaide,Sydney,199,2023-09
Albury,Sydney,400,2023-09
Armidale,Sydney,400,2023-09
Avalon,Gold Coast,365,2023-09
Avalon,Sydney,149,2023-09
Ayers Rock,Sydney,547,2023-09
Ballina,Sydney,91,2023-09
Brisbane,Cairns,392,2023-09
Brisbane,Canberra,467,2023-09
Brisbane,Darwin,577,2023-09
Brisbane,Emerald,662,2023-09
Brisbane,Gladstone,416,2023-09
Brisbane,Hamilton Island,477,2023-09
Brisbane,Hobart,403,2023-09
Brisbane,Mackay,300,2023-09
Brisbane,Melbourne,250,2023-09
Brisbane,Mount Isa,895,2023-09
Brisbane,Perth,687,2023-09
Brisbane,Proserpine,419,2023-09
Brisbane,Rockhampton,355,2023-09
Brisbane,Sydney,169,2023-09
Brisbane,Townsville,370,2023-09
Brisbane,Newcastle,167,2023-09
Broome,Perth,853,2023-09
