Year,Month,Arriving_Port,Average_Fare,Departing_Port
2010,8,Brisbane,157,Adelaide
2010,8,Canberra,350,Adelaide
2010,8,Gold Coast,232,Adelaide
2010,8,Melbourne,87,Adelaide
2010,8,Perth,406,Adelaide
2010,8,Port Lincoln,251,Adelaide
2010,8,Sydney,122,Adelaide
2010,9,Brisbane,279,Adelaide
2010,9,Canberra,419,Adelaide
2010,9,Gold Coast,350,Adelaide
2010,9,Melbourne,152,Adelaide
2010,9,Perth,463,Adelaide
2010,9,Port Lincoln,257,Adelaide
2010,9,Sydney,180,Adelaide
2010,10,Brisbane,208,Adelaide
2010,10,Canberra,374,Adelaide
2010,10,Gold Coast,222,Adelaide
2010,10,Melbourne,109,Adelaide
2010,10,Perth,461,Adelaide
2010,10,Port Lincoln,256,Adelaide
2010,10,Sydney,166,Adelaide
2010,11,Brisbane,334,Adelaide
2010,11,Canberra,376,Adelaide
2010,11,Gold Coast,447,Adelaide
2010,11,Melbourne,81,Adelaide
2010,11,Perth,461,Adelaide
2010,11,Port Lincoln,256,Adelaide
2010,11,Sydney,83,Adelaide
2010,12,Brisbane,657,Adelaide
2010,12,Canberra,545,Adelaide
2010,12,Gold Coast,657,Adelaide
2010,12,Melbourne,138,Adelaide
2010,12,Perth,685,Adelaide
2010,12,Port Lincoln,256,Adelaide
2010,12,Sydney,348,Adelaide
2011,1,Brisbane,274,Adelaide
2011,1,Canberra,353,Adelaide
2011,1,Gold Coast,330,Adelaide
2011,1,Melbourne,76,Adelaide
2011,1,Perth,379,Adelaide
2011,1,Port Lincoln,258,Adelaide
2011,1,Sydney,120,Adelaide
2011,2,Brisbane,343,Adelaide
2011,2,Canberra,390,Adelaide
2011,2,Gold Coast,440,Adelaide
2011,2,Melbourne,96,Adelaide
2011,2,Perth,489,Adelaide
2011,2,Port Lincoln,258,Adelaide
2011,2,Sydney,136,Adelaide
2011,3,Brisbane,413,Adelaide
2011,3,Canberra,393,Adelaide
2011,3,Gold Coast,440,Adelaide
2011,3,Melbourne,94,Adelaide
2011,3,Perth,468,Adelaide
2011,3,Port Lincoln,270,Adelaide
2011,3,Sydney,108,Adelaide
2011,4,Brisbane,450,Adelaide
2011,4,Canberra,467,Adelaide
2011,4,Gold Coast,436,Adelaide
2011,4,Melbourne,96,Adelaide
2011,4,Perth,546,Adelaide
2011,4,Port Lincoln,295,Adelaide
2011,4,Sydney,247,Adelaide
2011,5,Brisbane,340,Adelaide
2011,5,Canberra,381,Adelaide
2011,5,Gold Coast,381,Adelaide
2011,5,Melbourne,110,Adelaide
2011,5,Perth,439,Adelaide
2011,5,Port Lincoln,295,Adelaide
2011,5,Sydney,165,Adelaide
2011,6,Brisbane,464,Adelaide
2011,6,Canberra,445,Adelaide
2011,6,Gold Coast,572,Adelaide
2011,6,Melbourne,123,Adelaide
2011,6,Perth,532,Adelaide
2011,6,Port Lincoln,310,Adelaide
2011,6,Sydney,274,Adelaide
2011,7,Brisbane,461,Adelaide
2011,7,Canberra,461,Adelaide
2011,7,Gold Coast,469,Adelaide
2011,7,Melbourne,147,Adelaide
2011,7,Perth,516,Adelaide
2011,7,Port Lincoln,308,Adelaide
2011,7,Sydney,311,Adelaide
2011,8,Brisbane,379,Adelaide
2011,8,Canberra,450,Adelaide
2011,8,Gold Coast,447,Adelaide
2011,8,Melbourne,202,Adelaide
2011,8,Perth,505,Adelaide
2011,8,Port Lincoln,308,Adelaide
2011,8,Sydney,181,Adelaide
2011,9,Brisbane,611,Adelaide
2011,9,Canberra,556,Adelaide
2011,9,Gold Coast,679,Adelaide
2011,9,Melbourne,366,Adelaide
2011,9,Perth,674,Adelaide
2011,9,Port Lincoln,308,Adelaide
2011,9,Sydney,371,Adelaide
2011,10,Brisbane,456,Adelaide
2011,10,Canberra,461,Adelaide
2011,10,Gold Coast,551,Adelaide
2011,10,Melbourne,325,Adelaide
2011,10,Perth,606,Adelaide
2011,10,Port Lincoln,308,Adelaide
2011,10,Sydney,360,Adelaide
2011,11,Brisbane,461,Adelaide
2011,11,Canberra,406,Adelaide
2011,11,Gold Coast,496,Adelaide
2011,11,Melbourne,311,Adelaide
2011,11,Perth,555,Adelaide
2011,11,Port Lincoln,308,Adelaide
2011,11,Sydney,364,Adelaide
2011,12,Brisbane,551,Adelaide
2011,12,Canberra,641,Adelaide
2011,12,Gold Coast,856,Adelaide
2011,12,Melbourne,366,Adelaide
2011,12,Perth,816,Adelaide
2011,12,Port Lincoln,308,Adelaide
2011,12,Sydney,406,Adelaide
2012,1,Brisbane,365,Adelaide
2012,1,Canberra,469,Adelaide
2012,1,Gold Coast,365,Adelaide
2012,1,Melbourne,188,Adelaide
2012,1,Perth,447,Adelaide
2012,1,Port Lincoln,308,Adelaide
2012,1,Sydney,243,Adelaide
2012,2,Brisbane,395,Adelaide
2012,2,Canberra,461,Adelaide
2012,2,Gold Coast,461,Adelaide
2012,2,Melbourne,245,Adelaide
2012,2,Perth,501,Adelaide
2012,2,Port Lincoln,308,Adelaide
2012,2,Sydney,311,Adelaide
2012,3,Brisbane,447,Adelaide
2012,3,Canberra,474,Adelaide
2012,3,Gold Coast,597,Adelaide
2012,3,Melbourne,283,Adelaide
2012,3,Perth,556,Adelaide
2012,3,Port Lincoln,253,Adelaide
2012,3,Sydney,332,Adelaide
2012,4,Brisbane,296,Adelaide
2012,4,Canberra,393,Adelaide
2012,4,Gold Coast,309,Adelaide
2012,4,Melbourne,160,Adelaide
2012,4,Perth,363,Adelaide
2012,4,Port Lincoln,312,Adelaide
2012,4,Sydney,228,Adelaide
2012,5,Brisbane,336,Adelaide
2012,5,Canberra,447,Adelaide
2012,5,Gold Coast,390,Adelaide
2012,5,Melbourne,174,Adelaide
2012,5,Perth,451,Adelaide
2012,5,Port Lincoln,327,Adelaide
2012,5,Sydney,282,Adelaide
2012,6,Brisbane,404,Adelaide
2012,6,Canberra,508,Adelaide
2012,6,Gold Coast,702,Adelaide
2012,6,Melbourne,241,Adelaide
2012,6,Perth,521,Adelaide
2012,6,Port Lincoln,330,Adelaide
2012,6,Sydney,309,Adelaide
2012,7,Brisbane,332,Adelaide
2012,7,Canberra,388,Adelaide
2012,7,Gold Coast,439,Adelaide
2012,7,Melbourne,198,Adelaide
2012,7,Perth,423,Adelaide
2012,7,Port Lincoln,329,Adelaide
2012,7,Sydney,281,Adelaide
2012,8,Brisbane,374,Adelaide
2012,8,Canberra,508,Adelaide
2012,8,Gold Coast,439,Adelaide
2012,8,Melbourne,185,Adelaide
2012,8,Perth,452,Adelaide
2012,8,Port Lincoln,332,Adelaide
2012,8,Sydney,265,Adelaide
2012,9,Brisbane,460,Adelaide
2012,9,Canberra,604,Adelaide
2012,9,Gold Coast,559,Adelaide
2012,9,Melbourne,345,Adelaide
2012,9,Perth,492,Adelaide
2012,9,Port Lincoln,300,Adelaide
2012,9,Sydney,318,Adelaide
2012,10,Brisbane,392,Adelaide
2012,10,Canberra,447,Adelaide
2012,10,Gold Coast,459,Adelaide
2012,10,Melbourne,224,Adelaide
2012,10,Perth,531,Adelaide
2012,10,Port Lincoln,264,Adelaide
2012,10,Sydney,304,Adelaide
2012,11,Brisbane,398,Adelaide
2012,11,Canberra,436,Adelaide
2012,11,Gold Coast,438,Adelaide
2012,11,Melbourne,211,Adelaide
2012,11,Perth,491,Adelaide
2012,11,Port Lincoln,264,Adelaide
2012,11,Sydney,278,Adelaide
2012,12,Brisbane,611,Adelaide
2012,12,Canberra,661,Adelaide
2012,12,Gold Coast,584,Adelaide
2012,12,Melbourne,291,Adelaide
2012,12,Perth,731,Adelaide
2012,12,Port Lincoln,299,Adelaide
2012,12,Sydney,531,Adelaide
2013,1,Brisbane,343,Adelaide
2013,1,Canberra,424,Adelaide
2013,1,Gold Coast,330,Adelaide
