departure_port,arrival_port,Departure Delay,Arrival Delay,Date,real_fare_(AUD)
Adelaide,Brisbane,16.19433198,12.95546559,2010-08,157.0
Adelaide,Canberra,12.5,7.5,2010-08,350.0
Adelaide,Gold Coast,7.142857143,4.7619047619999995,2010-08,232.0
Adelaide,Melbourne,13.12584574,15.42625169,2010-08,87.0
Adelaide,Perth,9.134615385,12.01923077,2010-08,406.0
Adelaide,Port Lincoln,7.120743034,11.14551084,2010-08,251.0
Adelaide,Sydney,15.17509728,11.47859922,2010-08,122.0
Albury,Sydney,23.07692308,22.40802676,2010-08,264.0
Alice Springs,Melbourne,32.60869565,17.39130435,2010-08,283.0
Ballina,Sydney,23.17880795,25.16556291,2010-08,237.0
Brisbane,Adelaide,12.55060729,15.38461538,2010-08,
Brisbane,Cairns,16.30434783,15.2173913,2010-08,392.0
Brisbane,Canberra,11.74377224,9.608540925,2010-08,322.0
Brisbane,Darwin,17.74193548,20.96774194,2010-08,505.0
Brisbane,Hamilton Island,18.03278689,21.31147541,2010-08,223.0
Brisbane,Mackay,16.918429,20.24169184,2010-08,209.0
Brisbane,Melbourne,15.10538642,15.57377049,2010-08,165.0
Brisbane,Newcastle,17.84232365,25.72614108,2010-08,166.0
Brisbane,Perth,15.59139785,18.27956989,2010-08,646.0
Brisbane,Proserpine,20.96774194,25.80645161,2010-08,195.0
Brisbane,Rockhampton,20.67183463,22.73901809,2010-08,84.0
Brisbane,Sydney,22.67106348,27.04039571,2010-08,209.0
Brisbane,Townsville,14.83679525,15.13353116,2010-08,293.0
Broome,Perth,22.35294118,20.58823529,2010-08,657.0
Cairns,Brisbane,14.04958678,14.04958678,2010-08,
Cairns,Melbourne,30.35714286,24.10714286,2010-08,688.0
Cairns,Sydney,17.2,15.6,2010-08,560.0
Cairns,Townsville,20.6185567,23.71134021,2010-08,195.0
Canberra,Adelaide,8.333333332999999,9.523809523999999,2010-08,
Canberra,Brisbane,8.214285713999999,11.42857143,2010-08,
Canberra,Melbourne,9.554140127,13.16348195,2010-08,123.0
Canberra,Sydney,14.11411411,14.41441441,2010-08,223.0
Coffs Harbour,Sydney,12.87128713,14.85148515,2010-08,268.0
Darwin,Brisbane,25.0,18.33333333,2010-08,
Darwin,Melbourne,25.67567568,16.21621622,2010-08,272.0
Darwin,Perth,5.263157895,8.771929825,2010-08,674.0
Dubbo,Sydney,24.56747405,23.183391,2010-08,352.0
Gold Coast,Adelaide,10.71428571,10.71428571,2010-08,
Gold Coast,Melbourne,21.30801688,21.51898734,2010-08,
Gold Coast,Newcastle,20.0,22.0,2010-08,
Gold Coast,Sydney,17.94478528,16.41104294,2010-08,171.0
Hamilton Island,Brisbane,20.96774194,17.74193548,2010-08,
Hamilton Island,Sydney,22.95081967,19.67213115,2010-08,491.0
Hobart,Melbourne,15.98837209,14.24418605,2010-08,131.0
Hobart,Sydney,19.29824561,16.95906433,2010-08,265.0
Kalgoorlie,Perth,17.54385965,20.175438600000003,2010-08,509.0
Karratha,Perth,12.54355401,18.46689895,2010-08,454.0
Launceston,Melbourne,15.625,17.36111111,2010-08,195.0
Launceston,Sydney,12.90322581,8.064516129,2010-08,251.0
Mackay,Brisbane,20.12195122,21.34146341,2010-08,
Melbourne,Adelaide,12.85520974,15.42625169,2010-08,
Melbourne,Alice Springs,19.56521739,19.56521739,2010-08,
Melbourne,Brisbane,17.68149883,15.92505855,2010-08,
Melbourne,Cairns,15.65217391,20.86956522,2010-08,
Melbourne,Canberra,12.66094421,12.44635193,2010-08,
Melbourne,Darwin,14.47368421,27.63157895,2010-08,
Melbourne,Gold Coast,19.15789474,18.52631579,2010-08,182.0
Melbourne,Hobart,18.26086957,16.23188406,2010-08,
Melbourne,Launceston,18.40277778,23.61111111,2010-08,
Melbourne,Mildura,11.7370892,13.61502347,2010-08,279.0
Melbourne,Newcastle,14.54545455,18.18181818,2010-08,152.0
Melbourne,Perth,17.61904762,20.47619048,2010-08,392.0
Melbourne,Sunshine Coast,21.6,20.8,2010-08,
Melbourne,Sydney,24.24706483,19.34660541,2010-08,108.0
Mildura,Melbourne,7.5117370889999995,12.67605634,2010-08,
Newcastle,Brisbane,20.83333333,18.75,2010-08,
Newcastle,Gold Coast,18.0,18.0,2010-08,195.0
Newcastle,Melbourne,15.31531532,18.91891892,2010-08,
Newman,Perth,6.201550387999999,9.302325581,2010-08,
Perth,Adelaide,11.16504854,12.13592233,2010-08,
Perth,Brisbane,17.39130435,13.04347826,2010-08,
Perth,Broome,18.34319527,15.97633136,2010-08,
Perth,Darwin,5.263157895,5.263157895,2010-08,
Perth,Kalgoorlie,11.00917431,12.8440367,2010-08,
Perth,Karratha,12.23776224,11.53846154,2010-08,
Perth,Melbourne,22.43436754,15.75178998,2010-08,
Perth,Newman,6.976744186,6.201550387999999,2010-08,505.0
Perth,Port Hedland,6.0975609760000005,4.87804878,2010-08,505.0
Perth,Sydney,19.9513382,13.38199513,2010-08,533.0
Port Hedland,Perth,7.878787879,10.303030300000001,2010-08,
Port Lincoln,Adelaide,8.75,13.4375,2010-08,
Port Macquarie,Sydney,20.3125,26.5625,2010-08,223.0
Proserpine,Brisbane,29.03225806,27.41935484,2010-08,
Rockhampton,Brisbane,20.0,17.80821918,2010-08,
Sunshine Coast,Melbourne,34.67741935,37.09677419,2010-08,233.0
Sunshine Coast,Sydney,17.36111111,14.58333333,2010-08,279.0
Sydney,Adelaide,12.59689922,14.92248062,2010-08,
Sydney,Albury,22.25913621,29.56810631,2010-08,
Sydney,Ballina,16.55629139,19.86754967,2010-08,
Sydney,Brisbane,19.04369332,19.86809563,2010-08,
Sydney,Cairns,17.85714286,17.85714286,2010-08,
Sydney,Canberra,16.76470588,19.55882353,2010-08,
Sydney,Coffs Harbour,17.24137931,17.24137931,2010-08,
Sydney,Dubbo,17.40614334,21.84300341,2010-08,
Sydney,Gold Coast,16.38591118,18.83614089,2010-08,
Sydney,Hamilton Island,13.114754099999999,22.95081967,2010-08,
Sydney,Hobart,17.44186047,17.44186047,2010-08,
Sydney,Launceston,11.29032258,9.677419355,2010-08,
Sydney,Melbourne,19.50591868,24.49819866,2010-08,
Sydney,Perth,14.76997579,16.94915254,2010-08,
Sydney,Port Macquarie,20.725388600000002,23.83419689,2010-08,
Sydney,Sunshine Coast,13.79310345,15.86206897,2010-08,
Sydney,Townsville,14.81481481,16.66666667,2010-08,386.0
Sydney,Wagga Wagga,14.39688716,27.62645914,2010-08,305.0
Townsville,Brisbane,13.31360947,15.38461538,2010-08,
Townsville,Cairns,21.53846154,32.82051282,2010-08,
Townsville,Sydney,18.51851852,18.51851852,2010-08,
Wagga Wagga,Sydney,20.703125,23.046875,2010-08,
Adelaide,Brisbane,45.16129032,29.03225806,2010-08,157.0
Adelaide,Gold Coast,3.225806452,0.0,2010-08,232.0
Adelaide,Melbourne,12.24489796,18.36734694,2010-08,87.0
Adelaide,Perth,3.225806452,12.90322581,2010-08,406.0
Adelaide,Sydney,20.51282051,10.25641026,2010-08,122.0
Ballina,Sydney,25.71428571,20.0,2010-08,237.0
Brisbane,Adelaide,22.58064516,35.48387097,2010-08,
