Year,Month,Distance_GC_(km),Arriving_Port,Departing_Port
2008,1,246,Port Lincoln,Adelaide
2008,1,643,Melbourne,Adelaide
2008,1,972,Canberra,Adelaide
2008,1,1167,Sydney,Adelaide
2008,1,1316,Alice Springs,Adelaide
2008,1,1607,Gold Coast,Adelaide
2008,1,1622,Brisbane,Adelaide
2008,1,2120,Perth,Adelaide
2008,2,246,Port Lincoln,Adelaide
2008,2,643,Melbourne,Adelaide
2008,2,972,Canberra,Adelaide
2008,2,1167,Sydney,Adelaide
2008,2,1316,Alice Springs,Adelaide
2008,2,1607,Gold Coast,Adelaide
2008,2,1622,Brisbane,Adelaide
2008,2,2120,Perth,Adelaide
2008,3,246,Port Lincoln,Adelaide
2008,3,643,Melbourne,Adelaide
2008,3,972,Canberra,Adelaide
2008,3,1167,Sydney,Adelaide
2008,3,1316,Alice Springs,Adelaide
2008,3,1607,Gold Coast,Adelaide
2008,3,1622,Brisbane,Adelaide
2008,3,2120,Perth,Adelaide
2008,4,246,Port Lincoln,Adelaide
2008,4,643,Melbourne,Adelaide
2008,4,972,Canberra,Adelaide
2008,4,1167,Sydney,Adelaide
2008,4,1316,Alice Springs,Adelaide
2008,4,1607,Gold Coast,Adelaide
2008,4,1622,Brisbane,Adelaide
2008,4,2120,Perth,Adelaide
2008,5,246,Port Lincoln,Adelaide
2008,5,643,Melbourne,Adelaide
2008,5,972,Canberra,Adelaide
2008,5,1167,Sydney,Adelaide
2008,5,1316,Alice Springs,Adelaide
2008,5,1607,Gold Coast,Adelaide
2008,5,1622,Brisbane,Adelaide
2008,5,2120,Perth,Adelaide
2008,6,246,Port Lincoln,Adelaide
2008,6,643,Melbourne,Adelaide
2008,6,972,Canberra,Adelaide
2008,6,1167,Sydney,Adelaide
2008,6,1316,Alice Springs,Adelaide
2008,6,1607,Gold Coast,Adelaide
2008,6,1622,Brisbane,Adelaide
2008,6,2120,Perth,Adelaide
2008,7,246,Port Lincoln,Adelaide
2008,7,643,Melbourne,Adelaide
2008,7,972,Canberra,Adelaide
2008,7,1167,Sydney,Adelaide
2008,7,1316,Alice Springs,Adelaide
2008,7,1607,Gold Coast,Adelaide
2008,7,1622,Brisbane,Adelaide
2008,7,2120,Perth,Adelaide
2008,8,246,Port Lincoln,Adelaide
2008,8,643,Melbourne,Adelaide
2008,8,972,Canberra,Adelaide
2008,8,1167,Sydney,Adelaide
2008,8,1316,Alice Springs,Adelaide
2008,8,1607,Gold Coast,Adelaide
2008,8,1622,Brisbane,Adelaide
2008,8,2120,Perth,Adelaide
2008,9,246,Port Lincoln,Adelaide
2008,9,643,Melbourne,Adelaide
2008,9,972,Canberra,Adelaide
2008,9,1167,Sydney,Adelaide
2008,9,1316,Alice Springs,Adelaide
2008,9,1607,Gold Coast,Adelaide
2008,9,1622,Brisbane,Adelaide
2008,9,2120,Perth,Adelaide
2008,10,246,Port Lincoln,Adelaide
2008,10,643,Melbourne,Adelaide
2008,10,972,Canberra,Adelaide
2008,10,1167,Sydney,Adelaide
2008,10,1316,Alice Springs,Adelaide
2008,10,1607,Gold Coast,Adelaide
2008,10,1622,Brisbane,Adelaide
2008,10,2120,Perth,Adelaide
2008,11,246,Port Lincoln,Adelaide
2008,11,643,Melbourne,Adelaide
2008,11,972,Canberra,Adelaide
2008,11,1167,Sydney,Adelaide
2008,11,1316,Alice Springs,Adelaide
2008,11,1607,Gold Coast,Adelaide
2008,11,1622,Brisbane,Adelaide
2008,11,2120,Perth,Adelaide
2008,12,246,Port Lincoln,Adelaide
2008,12,643,Melbourne,Adelaide
2008,12,972,Canberra,Adelaide
2008,12,1167,Sydney,Adelaide
2008,12,1316,Alice Springs,Adelaide
2008,12,1607,Gold Coast,Adelaide
2008,12,1622,Brisbane,Adelaide
2008,12,2120,Perth,Adelaide
2009,1,246,Port Lincoln,Adelaide
2009,1,643,Melbourne,Adelaide
2009,1,972,Canberra,Adelaide
2009,1,1167,Sydney,Adelaide
2009,1,1316,Alice Springs,Adelaide
2009,1,1607,Gold Coast,Adelaide
2009,1,1622,Brisbane,Adelaide
2009,1,2120,Perth,Adelaide
2009,2,246,Port Lincoln,Adelaide
2009,2,643,Melbourne,Adelaide
2009,2,972,Canberra,Adelaide
