Departing_Port,Arriving_Port,Month,Year,Average_Fare,Distance
Adelaide,Brisbane,8,2010,157.0,1619.982413941602
Adelaide,Canberra,8,2010,350.0,970.2290464494174
Adelaide,Gold Coast,8,2010,232.0,1604.1628403102109
Adelaide,Melbourne,8,2010,87.0,641.6529269409299
Adelaide,Perth,8,2010,406.0,2115.440208283999
Adelaide,Port Lincoln,8,2010,251.0,245.00141173119508
Adelaide,Sydney,8,2010,122.0,1164.1801497410133
Adelaide,Brisbane,9,2010,279.0,1619.982413941602
Adelaide,Canberra,9,2010,419.0,970.2290464494174
Adelaide,Gold Coast,9,2010,350.0,1604.1628403102109
Adelaide,Melbourne,9,2010,152.0,641.6529269409299
Adelaide,Perth,9,2010,463.0,2115.440208283999
Adelaide,Port Lincoln,9,2010,257.0,245.00141173119508
Adelaide,Sydney,9,2010,180.0,1164.1801497410133
Adelaide,Brisbane,10,2010,208.0,1619.982413941602
Adelaide,Canberra,10,2010,374.0,970.2290464494174
Adelaide,Gold Coast,10,2010,222.0,1604.1628403102109
Adelaide,Melbourne,10,2010,109.0,641.6529269409299
Adelaide,Perth,10,2010,461.0,2115.440208283999
Adelaide,Port Lincoln,10,2010,256.0,245.00141173119508
Adelaide,Sydney,10,2010,166.0,1164.1801497410133
Adelaide,Brisbane,11,2010,334.0,1619.982413941602
Adelaide,Canberra,11,2010,376.0,970.2290464494174
Adelaide,Gold Coast,11,2010,447.0,1604.1628403102109
Adelaide,Melbourne,11,2010,81.0,641.6529269409299
Adelaide,Perth,11,2010,461.0,2115.440208283999
Adelaide,Port Lincoln,11,2010,256.0,245.00141173119508
Adelaide,Sydney,11,2010,83.0,1164.1801497410133
Adelaide,Brisbane,12,2010,657.0,1619.982413941602
Adelaide,Canberra,12,2010,545.0,970.2290464494174
Adelaide,Gold Coast,12,2010,657.0,1604.1628403102109
Adelaide,Melbourne,12,2010,138.0,641.6529269409299
Adelaide,Perth,12,2010,685.0,2115.440208283999
Adelaide,Port Lincoln,12,2010,256.0,245.00141173119508
Adelaide,Sydney,12,2010,348.0,1164.1801497410133
Adelaide,Brisbane,1,2011,274.0,1619.982413941602
